,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
1653,391,Jamie,7.92,male,Unknown Mix,2013-05-01,2013-05-01,2013-05-28,black,short,medium,,,,,,,,
1654,322,Kisvrdai Keve,7.17,male,Greyhound Mix,2013-05-24,2013-05-24,2013-05-27,yellow-brown,short,medium,yes,yes,yes,yes,yes,yes,,both flat and garden
1655,14,Balzs,8.0,male,Unknown Mix,2012-11-10,2012-11-10,2013-05-28,brown,short,large,no,,yes,yes,,yes,,garden
1656,20,Szergely,7.0,male,Unknown Mix,2013-04-26,2013-04-26,2013-06-03,black and brown,medium,medium,,,yes,yes,yes,yes,,garden
1657,394,Muffin,6.75,female,German Shepherd Dog Mix,2013-05-01,2013-05-01,2013-05-28,black and brown,short,medium,,,,yes,yes,yes,yes,
1658,30,Rudy,9.33,male,Staffordshire Terrier Mix,2013-05-30,2013-05-30,2013-05-31,spotty,short,medium,no,,yes,yes,yes,yes,,both flat and garden
1659,16,Bozont,18.5,male,Unknown Mix,2012-06-01,2012-06-01,2013-05-28,gray and white,medium,large,no,no,yes,yes,yes,yes,,both flat and garden
1660,388,Henry,7.0,male,Unknown Mix,2013-05-09,2013-05-09,2013-05-13,black,short,medium,,,,,yes,yes,,
1661,379,Flp,8.5,male,Puli Mix,2013-04-18,2013-04-18,2013-04-18,black,long,medium,,,,,,,,
1662,99,Jimboo,11.67,male,Dogo Argentino,2013-04-28,2013-04-28,2013-05-25,white,short,medium,,,yes,yes,no,no,no,both flat and garden
1663,6349,Rosso,8.58,male,Unknown Mix,2013-04-17,2013-04-17,2013-04-28,red,medium,medium,,yes,yes,yes,yes,yes,,both flat and garden
1664,380,Dufi,7.75,male,Unknown Mix,2013-04-18,2013-04-18,2013-04-18,white,short,medium,,,,,yes,yes,,
1665,508,Lotr,14.92,male,Fox Terrier Mix,2013-04-01,2013-05-10,2013-04-23,spotty,short,medium,,yes,yes,yes,yes,yes,,both flat and garden
1666,931,Viktor,17.25,male,Unknown Mix,2013-05-18,2013-05-18,2013-05-19,black and white,short,medium,yes,,yes,,no,yes,no,both flat and garden
1667,786,Panni,7.92,female,Unknown Mix,2013-02-02,2013-02-02,2013-04-19,tricolor,short,small,yes,,yes,yes,yes,yes,,both flat and garden
1668,6369,Beagle Fi,8.58,male,Beagle,2013-05-11,2013-05-11,2013-05-12,tricolor,short,medium,no,,,,,,,
1669,382,Shoko,7.92,male,Unknown Mix,2013-04-25,2013-04-25,2013-04-29,black,medium,medium,,,,,yes,yes,,
1670,27,Tallt Spicc,11.58,male,Spitz,2013-04-08,2013-04-08,2013-04-22,white,long,small,no,yes,yes,,,,,flat
1671,389,Bobby,7.92,male,Unknown Mix,2013-05-09,2013-05-09,2013-05-13,black,short,medium,,,,,,,,
1672,384,Carita,7.58,female,Unknown Mix,2013-04-25,2013-04-25,2013-04-29,yellow-brown,medium,medium,,,,,yes,yes,,
1673,321,Kisvrdai Kolos,7.17,male,Greyhound Mix,2013-05-24,2013-05-24,2013-05-27,yellow-brown,short,medium,yes,no,yes,yes,yes,yes,,both flat and garden
1674,6350,Einstein,8.08,male,Pumi Mix,2013-04-25,2013-04-25,2013-04-29,gray,medium,medium,no,,yes,yes,yes,yes,,garden
1675,922,Gyli Csipi,12.42,female,Unknown Mix,2013-04-09,2013-04-09,2013-05-07,yellow-brown,short,medium,,,yes,,yes,yes,yes,both flat and garden
1676,516,Mumus,7.08,male,Unknown Mix,2013-02-13,2013-05-15,2013-04-29,brown,medium,medium,,yes,yes,,yes,yes,,both flat and garden
1677,507,Betty,8.92,female,German Shepherd Dog Mix,2012-12-04,2013-05-01,2013-04-21,saddle back,short,medium,yes,yes,yes,yes,yes,yes,,both flat and garden
1678,920,Picurella,14.67,female,Unknown Mix,2013-04-08,2013-04-08,2013-05-07,black and white,short,small,yes,yes,yes,,,,,flat
1679,6395,,6.92,female,Unknown Mix,2013-05-11,2013-05-11,2013-05-23,brown,medium,small,,no,no,,yes,yes,,both flat and garden
1680,351,Hopi,8.75,male,Unknown Mix,2013-01-01,2013-01-01,2013-03-29,yellow-brown,short,medium,,,,,,,,
1681,354,Tina,9.92,female,Cocker Spaniel,2013-03-01,2013-03-01,2013-03-31,black and brown,medium,medium,,,,,yes,yes,,
